56	Доминика	75.2	72.2	78.2
57	Хорватия	75.05	71.3	78.8
58	Словакия	75.05	71	79.1
59	Шри-Ланка	74.85	72.8	76.9
60	Панама	74.85	72.7	77
61	Бахрейн	74.75	72.2	77.3
62	Черногория	74.6	72.4	76.8
63	Литва	74.6	69.5	79.7
64	Македония	74.3	71.7	76.9
65	Сент-Люсия	74.2	70.5	77.9
66	Катар	74.2	71.6	76.8
67	Сент-Винсент и Гренадины	74.1	72.2	76
68	Оман	73.7	71.4	76
69	Алжир	73.45	71.9	75
70	Венесуэла	73.35	70.2	76.5
71	Суринам	73.3	70.5	76.1
72	Ливан	73.25	70.7	75.8
73	Болгария	73.2	70	76.4
74	Соломоновы Острова	73.2	70.6	75.8
75	Ямайка	73.15	71.4	74.9
76	Доминиканская Республика	73.1	71.3	74.9
77	Венгрия	73.05	68.7	77.4
78	Барбадос	73	71	75
79	Китай	72.95	71.1	74.8
80	Турция	72.95	70.4	75.5
81	Маврикий	72.9	68.9	76.9
82	Малайзия	72.9	70.1	75.7
83	Бразилия	72.75	69	76.5
84	Сент-Китс и Невис	72.75	69.8	75.7
85	Таиланд	72.6	70.2	75
86	Эстония	72.5	66.9	78.1
87	Сейшелы	72.45	67	77.9
88	Антигуа и Барбуда	72.45	70	74.9
89	Армения	72.4	68.5	76.3
90	Колумбия	72.3	68.4	76.2
91	Румыния	72	68.4	75.6
92	Северная Корея	72	69.2	74.8
93	Сальвадор	71.9	68.2	75.6
94	Латвия	71.75	66.4	77.1
95	Египет	71.6	69	74.2
96	Самоа	71.4	68.5	74.3
97	Марокко	71.3	68.9	73.7
98	Вьетнам	71.2	68.3	74.1
99	Кабо-Верде	71.05	67.7	74.4
100	Никарагуа	70.95	68.8	73.1
101	Палау	70.8	67.5	74.1
102	Сирия	70.65	69.3	72
103	Маршалловы Острова	70.65	68.6	72.7
104	Иран	70.6	69.1	72.1
105	Филиппины	70.6	67.6	73.6
106	Федеративные штаты Микронезии	70.4	68.5	72.3
107	Молдавия	70.3	66.5	74.1
108	Индонезия	70.25	67.7	72.8
109	Тонга	70.2	67.6	72.8
110	Фиджи	70.2	67.6	72.8
111	Беларусь	70.2	64.3	76.1
112	Перу	70.15	68.3	72
113	Гватемала	69.7	67.9	71.5
114	Гондурас	69.4	67.8	71
115	Ирак	69.35	68	70.7
116	Киргизия	68.9	64.8	73
117	Индия	68.75	66.3	71.2
118	Тувалу	68.7	66.4	71
119	Туркмения	68.35	65.2	71.5
120	Белиз	68.3	66.4	70.2
121	Украина	68.1	62.2	74
122	Сан-Томе и Принсипи	67.65	66	69.3
123	Казахстан	67.35	61.9	72.8
124	Монголия	67.05	64.6	69.5
125	Восточный Тимор	66.65	64.3	69
126	Азербайджан	66.3	61.9	70.7
127	Боливия	66.25	63.5	69
128	Гайана	66.25	63.5	69
129	Россия	66.05	59.1	73
130	Багамы	65.7	62.4	69
131	Папуа - Новая Гвинея	65.7	63.4	68
132	Гренада	65.25	63.4	67.1
133	Узбекистан	65.1	61.6	68.6
134	Мальдивы	64.8	63.4	66.2
135	Таджикистан	64.7	61.6	67.8
136	Пакистан	63.75	62.7	64.8
137	Науру	63.55	59.9	67.2
138	Вануату	63.25	61.7	64.8
139	Бангладеш	62.85	62.8	62.9
140	Коморы	62.8	60.4	65.2
141	Йемен	62.55	60.6	64.5
142	Кирибати	62.5	59.4	65.6
143	Мьянма	62.15	59	65.3
144	Мадагаскар	62.15	60.2	64.1
145	Камбоджа	61.35	59.3	63.4
146	Непал	60.55	60.8	60.3
147	Эритрея	59.6	57.9	61.3
148	Гана	59.55	58.7	60.4
149	Того	57.9	55.8	60
150	Конго, демократическая республика	57.25	55	59.5
151	Гаити	57.1	55.4	58.8
152	Сенегал	56.7	55.3	58.1
153	Лаос	55.9	53.8	58
154	Кения	55.3	55.2	55.4
155	Бутан	55.2	55.4	55
156	Гамбия	54.6	52.7	56.5
157	Габон	54.05	52.9	55.2
158	Бенин	53.45	52.3	54.6
159	Мавритания	53.4	51.2	55.6
160	Конго, республика 	53.3	52.1	54.5
161	Камерун	52.95	52.3	53.6
162	Уганда	51.75	50.8	52.7
163	Бурунди	51.3	50.5	52.1
164	Танзания	50.7	49.4	52
165	Ботсвана	50.6	51.6	49.6
166	Гвинея	49.65	48.5	50.8
167	Экваториальная Гвинея	49.55	48.1	51
168	Мали	49.55	47.6	51.5
169	Эфиопия	49.25	48.1	50.4
170	Буркина Фасо	49.25	47.7	50.8
171	Судан	49.1	48.2	50
172	Руанда	49.05	47.9	50.2
173	Кот-д’Ивуар	49.05	46.4	51.7
174	Сомали	48.9	47.1	50.7
175	Нигерия	47.45	46.8	48.1
176	Чад	47.25	46.2	48.3
177	Гвинея-Бисау	47.2	45.4	49
178	Нигер	44.05	44.1	44
179	Афганистан	43.8	43.6	44
180	Центрально-Африканская Республика	43.75	43.7	43.8
181	Джибути	43.3	41.9	44.7
182	Намибия	43.1	44.4	41.8
183	Малави	43	43.4	42.6
184	Южно-Африканская Республика	42.45	43.2	41.7
185	Мозамбик	40.9	41.4	40.4
186	Сьерра-Леоне	40.65	38.4	42.9
187	Либерия	40.4	38.9	41.9
188	Лесото	39.95	40.7	39.2
189	Зимбабве	39.5	40.6	38.4
190	Замбия	38.4	38.3	38.5
191	Ангола	37.65	36.7	38.6
192	Свазиленд	32.2	31.8	32.6
